Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Atlasware Steel Coffee Maker (4 cups),Devans,1350.0,,,,"Brand : Atlasware, Colour : Steel Capacity: 4 cups  
  Moka Pot coffee maker is made of high quality stainless steel. It uses fine ground coffee powder and gives freshly brewed coffee in just 5-7 minutes. The aromatic coffee decoction can be enjoyed black or with milk.  This coffee maker is good for 4 cups.   Can be used on open flame / hot plate / induction stoves.",https://www.devans.in/products/atlasware-steel-coffee-maker-4-cups,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/img1-850x850_57d60b3a-96b6-4b1d-b31d-32a90517ede1.jpg?v=1619419085
BLACK HONEY COFFEE,Devans,600.0,250g,Medium Roast,Medium,"The Black Honey process is a drying process where part of the cherry remains on the bean and is covered while drying. The term ‚Äòhoney‚Äô relates to the ‚Äòmucilage‚Äô (sticky substance) left on the coffee bean. Traditional fully-washed coffees have the skin and pulp removed by mechanical washing, but during the honey process the producer will use a hand-roller which gives them full control of the level of mucilage left on the beans.  
  Tasting Notes:  
  Medium roasted to bring out the sweet, fruity undertones,¬†and a balanced acidity.  
  Rich bodied, flavourful coffee unlike any other.",https://www.devans.in/products/black-honey-coffee-1,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
BLACK HONEY COFFEE,Devans,1200.0,500g,Medium Roast,Medium,"The Black Honey process is a drying process where part of the cherry remains on the bean and is covered while drying. The term ‚Äòhoney‚Äô relates to the ‚Äòmucilage‚Äô (sticky substance) left on the coffee bean. Traditional fully-washed coffees have the skin and pulp removed by mechanical washing, but during the honey process the producer will use a hand-roller which gives them full control of the level of mucilage left on the beans.  
  Tasting Notes:  
  Medium roasted to bring out the sweet, fruity undertones,¬†and a balanced acidity.  
  Rich bodied, flavourful coffee unlike any other.",https://www.devans.in/products/black-honey-coffee-1,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
BLOOMING / FLOWER TEA,Devans,1210.0,100g,,,"Blooming Teas are made from green tea, hand tied around beautiful, natural flowers. When steeped in hot water, these slowly blossom into a bouquet of breathtaking shapes and exquisite flavors.",https://www.devans.in/products/blooming-flower-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/023.jpg?v=1622198344
BLOOMING / FLOWER TEA,Devans,2750.0,250g,,,"Blooming Teas are made from green tea, hand tied around beautiful, natural flowers. When steeped in hot water, these slowly blossom into a bouquet of breathtaking shapes and exquisite flavors.",https://www.devans.in/products/blooming-flower-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/023.jpg?v=1622198344
Cappuccino Cup 180 ml (0.18 litre),Devans,550.0,,,,"Fine White porcelain cappuccino cups with saucer, can hold upto 180 ml of your favourite beverage. Dishwasher safe, microwave safe and makes a good gift too.  
   The cup has our Devan’s logo printed in black.  
  Measures 8.5 cm in top diameter and 7 cm in height, saucer is 13.5 cm.",https://www.devans.in/products/devans-cappuccino-cup,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/IMG_2560.jpg?v=1624345264
CELEBRATION BLEND,Devans,1050.0,250g,Medium Roast,A triumph of aromas made with the most exclusive coffees in the world,"To Celebrate six decades of DEVAN’S we gathered unique coffees from different regions of the world and created a blend to make sure when you lift your cup of coffee to the lips and inhale its aroma and your palate experiences a unique flavour, it leads you to a memorable moment !  
  Single origin green beans have been sourced from different countries and India to make this exquisite blend. We have more than 60 years of experience in the coffee industry and want to share our knowledge and abilities to bring out new flavors of your favourite beverage.  
  Blend courtesy: Siddhant Keshav  
  Tasting Notes:  
  A triumph of aromas made with the most exclusive coffees in the world. Medium roasted to bring out the nice acidity of passion fruit with a smooth finish reminiscent of malt and much more for those who won’t settle for anything less than outstanding. An excellent and versatile blend that suits any extraction, revealing an intricate acidity evocative of nuts and hints of blood orange and cacao.",https://www.devans.in/products/celebration,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/006_2.jpg?v=1746169931
CELEBRATION BLEND,Devans,2100.0,500g,Medium Roast,A triumph of aromas made with the most exclusive coffees in the world,"To Celebrate six decades of DEVAN’S we gathered unique coffees from different regions of the world and created a blend to make sure when you lift your cup of coffee to the lips and inhale its aroma and your palate experiences a unique flavour, it leads you to a memorable moment !  
  Single origin green beans have been sourced from different countries and India to make this exquisite blend. We have more than 60 years of experience in the coffee industry and want to share our knowledge and abilities to bring out new flavors of your favourite beverage.  
  Blend courtesy: Siddhant Keshav  
  Tasting Notes:  
  A triumph of aromas made with the most exclusive coffees in the world. Medium roasted to bring out the nice acidity of passion fruit with a smooth finish reminiscent of malt and much more for those who won’t settle for anything less than outstanding. An excellent and versatile blend that suits any extraction, revealing an intricate acidity evocative of nuts and hints of blood orange and cacao.",https://www.devans.in/products/celebration,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/006_2.jpg?v=1746169931
CHICORY POWDER,Devans,70.0,,,,"100g / Rs 70   
  Chicory is a root of a plant that is roasted, ground and blended with coffee.   Chicory powder when blended with coffee powder adds more colour, body and thickness to the cup of coffee. South Indians traditionally add chicory to their coffee that is brewed in a special filter.",https://www.devans.in/products/chicory-coffee-powder,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
COLD BREW COFFEE BAGS- ORIGINAL,Devans,600.0,200g,Medium Roast,,"This box contains 5 Coffee Bags. 
 Each Coffee bag makes upto 1 Litre of Brew. 
 Cold Brew Coffee is Smoother,more Chocolaty and Less Acidic than Coffee Brewed Hot. Coffee powder used in these bags are pure arabica single origin Indian coffee, medium roasted. 
 How to make Cold Brew Coffee 
 Place Coffee Bag in 1 litre of Bottle or Jar. Pour Normal Filter Water ( 1 litre or less for a strong Brew) and Cap or Cover. Let it Brew for 15-18 Hours or longer for a stronger Brew. Remove the Coffee Bag and Refrigerate. Enjoy with or without Milk and Sugar.  BEST ENJOYED WITH ICE.",https://www.devans.in/products/coffee-bags,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410125056.jpg?v=1736165848
COLOMBIAN ARABICA COFFEE,Devans,700.0,100g,City Roast,mature citrus and passion fruit - in the prolonged aftertaste of honey and spice,"Freshly roasted in small batches.  
  Colombian Arabica   
  We roast our Arabica Columbian beans to a full city roast to produce an even fuller bodied cup. The extraction of this coffee has a long lasting golden crema in the cup, distinct fragrance is of rich cocoa, very nice mouthfeel with strong acidity, pleasantly balanced coffee, reveals notes of mature citrus and passion fruit - in the prolonged aftertaste of honey and spice.",https://www.devans.in/products/vietnamese-robusta-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
COLOMBIAN ARABICA COFFEE,Devans,1750.0,250g,City Roast,mature citrus and passion fruit - in the prolonged aftertaste of honey and spice,"Freshly roasted in small batches.  
  Colombian Arabica   
  We roast our Arabica Columbian beans to a full city roast to produce an even fuller bodied cup. The extraction of this coffee has a long lasting golden crema in the cup, distinct fragrance is of rich cocoa, very nice mouthfeel with strong acidity, pleasantly balanced coffee, reveals notes of mature citrus and passion fruit - in the prolonged aftertaste of honey and spice.",https://www.devans.in/products/vietnamese-robusta-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
COLOMBIAN ARABICA COFFEE,Devans,3500.0,500g,City Roast,mature citrus and passion fruit - in the prolonged aftertaste of honey and spice,"Freshly roasted in small batches.  
  Colombian Arabica   
  We roast our Arabica Columbian beans to a full city roast to produce an even fuller bodied cup. The extraction of this coffee has a long lasting golden crema in the cup, distinct fragrance is of rich cocoa, very nice mouthfeel with strong acidity, pleasantly balanced coffee, reveals notes of mature citrus and passion fruit - in the prolonged aftertaste of honey and spice.",https://www.devans.in/products/vietnamese-robusta-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
