Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
Rs. 949.00Rs. 995.00,Fraction9,Rs. 949.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/sampler-box-75gm-6-variants-copy
nan,Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-250-g-black-pepper-buy-any-500-g-coffee
FREE 250 G BLACK PEPPER  BUY ANY 500 G COFFEE,Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-250-g-black-pepper-buy-any-500-g-coffee
"fromRs. 898.00Rs. 1,347.00",Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-250-g-black-pepper-buy-any-500-g-coffee
nan,Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
FREE 250 G VANILLA COFFEE  BUY ANY 500 G COFFEE,Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
"fromRs. 898.00Rs. 1,347.00",Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-250-g-vanilla-coffee-buy-any-500-g-coffee
nan,Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-hazelnut-coffee-combo
FREE 250 G HAZELNUT COFFEE  BUY ANY 500 G COFFEE,Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-hazelnut-coffee-combo
"fromRs. 898.00Rs. 1,347.00",Fraction9,Rs. 898.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/free-hazelnut-coffee-combo
nan,Fraction9,"Rs. 1,720.00",,,,,https://www.fraction9coffee.com/collections/coffee/products/gift-hamper
The Signature Gift Hamper,Fraction9,"Rs. 1,720.00",,,,,https://www.fraction9coffee.com/collections/coffee/products/gift-hamper
