Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
Venkids Valley Estate  The Red Honey      Pour Over,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      South Indian Filter,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Venkids Valley Estate  The Red Honey      Cold Brew,bloomcoffeeroasters,800.0,250gms,Light Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Whole Beans,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Aeropress,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Channi,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Chemex,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Espresso,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      French Press,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Moka Pot,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Pour Over,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      South Indian Filter,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Cold Brew,bloomcoffeeroasters,2100.0,1kg,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Whole Beans,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Aeropress,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Channi,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
Pulney Coffee (Washed)  Pulney Hills      Chemex,bloomcoffeeroasters,675.0,250 gms,Medium Roast,,,
